Bar~0@0,Swing,4/4,A,140.0
Drums,44,91.0,0.25,62
Bar~23@92,Swing,4/4,A,140.0
Bass,28,92.0,1,67
Drums,44,92.0,0.25,68
Bass,31,93.0,1,78
Drums,44,93.0,0.25,80
Piano,60,93.0,0.666,60
Piano,64,93.0,0.666,60
Piano,67,93.0,0.666,78
Piano,72,93.0,0.666,79
Bass,36,94.0,0.5,66
Piano,60,94.0,1,77
Piano,64,94.0,1,73
Piano,67,94.0,1,77
Piano,72,94.0,1,66
Bass,40,95.0,0.5,62
Drums,36,95.0,0.25,64
Drums,44,95.0,0.25,78
Bar~24@96,Swing,4/4,A,140.0
Bass,41,96.0,1,61
Bass,36,97.0,1,66
Drums,44,97.0,0.333,78
Bass,36,98.0,0.666,62
Drums,36,98.0,0.333,63
Drums,44,98.0,0.333,79
Bass,29,99.0,1,76
Drums,44,99.0,0.333,69
Bar~25@100,Swing,4/4,A,140.0
Bass,34,100.0,1,72
Drums,44,100.0,0.333,70
Bass,34,101.0,1,75
Drums,44,101.0,0.333,73
Bass,34,102.0,1,79
Drums,44,102.0,0.333,74
Piano,50,102.0,0.666,74
Piano,58,102.0,0.666,65
Piano,65,102.0,0.666,69
Piano,70,102.0,0.666,73
Piano,77,102.0,0.666,72
Bass,38,103.0,0.750,76
Drums,44,103.0,0.333,75
Piano,50,103.0,1,64
Piano,58,103.0,1,68
Piano,65,103.0,1,68
Piano,70,103.0,1,69
Piano,77,103.0,1,64
Bar~26@104,Swing,4/4,A,140.0
Bass,28,104.0,0.5,77
Bass,39,105.0,0.750,62
Drums,44,105.0,0.333,76
Bass,40,106.0,1,71
Drums,44,106.0,0.333,67
Piano,55,106.0,1,62
Piano,59,106.0,1,77
Piano,64,106.0,1,65
Piano,71,106.0,1,70
Piano,76,106.0,1,73
Piano,83,106.0,1,78
Bass,35,107.0,1,74
Drums,44,107.0,0.25,79
Bar~27@108,Swing,4/4,A,140.0
Bass,51,108.0,1,66
Drums,44,108.0,0.333,66
Bass,54,109.0,1,70
Drums,44,109.0,0.333,76
Piano,51,109.0,0.333,79
Piano,54,109.0,0.333,69
Piano,58,109.0,0.333,64
Piano,63,109.0,0.333,76
Bass,44,110.0,1,64
Drums,44,110.0,0.333,77
Piano,51,110.0,0.666,67
Piano,56,110.0,0.666,74
Piano,60,110.0,0.666,79
Piano,63,110.0,0.666,72
Bass,39,111.0,1,60
Drums,44,111.0,0.333,75
Piano,48,111.0,1,74
Piano,51,111.0,1,65
Piano,56,111.0,1,60
Piano,63,111.0,1,69
Bar~28@112,Swing,4/4,A,140.0
Bass,38,112.0,0.666,60
Drums,36,112.0,0.333,67
Drums,44,112.0,0.333,77
Bass,33,113.0,0.750,66
Drums,44,113.0,0.25,63
Bass,38,114.0,1,79
Drums,36,114.0,0.333,68
Drums,44,114.0,0.333,60
Piano,50,114.0,1,61
Piano,53,114.0,1,70
Piano,57,114.0,1,67
Piano,62,114.0,1,67
Bass,33,115.0,1,64
Drums,44,115.0,0.25,78
Bar~29@116,Swing,4/4,A,140.0
Bass,31,116.0,0.5,70
Drums,36,116.0,0.333,73
Drums,44,116.0,0.333,69
Bass,38,117.0,1,60
Drums,44,117.0,0.333,63
Bass,31,118.0,1,72
Drums,36,118.0,0.333,80
Drums,44,118.0,0.333,80
Piano,59,118.0,0.666,73
Piano,62,118.0,0.666,66
Piano,67,118.0,0.666,76
Piano,74,118.0,0.666,62
Bass,38,119.0,0.666,77
Drums,44,119.0,0.333,75
Bar~30@120,Swing,4/4,A,140.0
Bass,36,120.0,1,71
Drums,36,120.0,0.333,62
Drums,44,120.0,0.333,67
Bass,36,121.0,1,65
Drums,44,121.0,0.333,74
Bass,36,122.0,1,70
Drums,36,122.0,0.333,67
Drums,44,122.0,0.333,69
Piano,52,122.0,1,68
Piano,55,122.0,1,63
Piano,60,122.0,1,65
Piano,67,122.0,1,67
Bass,43,123.0,1,62
Drums,44,123.0,0.333,75
Bar~31@124,Swing,4/4,A,140.0
Bass,36,124.0,1,68
Drums,36,124.0,0.333,80
Drums,44,124.0,0.333,69
Bass,35,125.0,1,77
Drums,44,125.0,0.333,79
Piano,60,125.0,1,64
Piano,64,125.0,1,75
Piano,67,125.0,1,62
Piano,72,125.0,1,61
Bass,36,126.0,0.5,64
Drums,44,126.0,0.25,78
Piano,52,126.0,1,73
Piano,60,126.0,1,66
Piano,67,126.0,1,63
Piano,72,126.0,1,69
Piano,79,126.0,1,77
Bass,43,127.0,0.5,73
Drums,44,127.0,0.25,75
Bar~32@128,Swing,4/4,A,140.0
Bass,36,128.0,1,74
Bass,31,129.0,0.750,64
Drums,44,129.0,0.333,76
Bass,36,130.0,0.666,73
Drums,44,130.0,0.333,77
Piano,52,130.0,1,67
Piano,55,130.0,1,61
Piano,60,130.0,1,61
Piano,67,130.0,1,75
Bass,40,131.0,1,66
Drums,44,131.0,0.25,80
Bar~33@132,Swing,4/4,A,140.0
Bass,36,132.0,1,77
Drums,44,132.0,0.333,74
Bass,36,133.0,1,69
Drums,44,133.0,0.333,78
Bass,36,134.0,1,71
Drums,44,134.0,0.333,75
Piano,48,134.0,0.666,72
Piano,52,134.0,0.666,64
Piano,55,134.0,0.666,61
Piano,60,134.0,0.666,75
Bass,35,135.0,0.750,78
Drums,44,135.0,0.25,80
Bar~34@136,Swing,4/4,A,140.0
Bass,35,136.0,0.5,75
Drums,44,136.0,0.333,80
Bass,35,137.0,1,72
Drums,44,137.0,0.333,80
Bass,35,138.0,1,63
Drums,44,138.0,0.333,66
Piano,50,138.0,1,61
Piano,59,138.0,1,64
Piano,65,138.0,1,78
Piano,71,138.0,1,79
Piano,77,138.0,1,67
Bass,38,139.0,1,62
Drums,44,139.0,0.25,66
Bar~35@140,Swing,4/4,A,140.0
Bass,28,140.0,1,60
Drums,44,140.0,0.25,72
Bass,39,141.0,1,70
Drums,36,141.0,0.333,77
Drums,44,141.0,0.25,67
Bass,40,142.0,1,78
Piano,56,142.0,1,78
Piano,64,142.0,1,67
Piano,71,142.0,1,66
Piano,76,142.0,1,67
Piano,83,142.0,1,66
Bass,44,143.0,1,76
Drums,44,143.0,0.25,71
Bar~36@144,Swing,4/4,A,140.0
Bass,45,144.0,0.666,65
Drums,44,144.0,0.333,67
Piano,57,144.0,1,78
Piano,60,144.0,1,73
Piano,64,144.0,1,64
Piano,69,144.0,1,73
Bass,40,145.0,1,63
Drums,44,145.0,0.333,66
Bass,40,146.0,1,70
Drums,36,146.0,0.333,65
Drums,44,146.0,0.25,62
Bass,34,147.0,1,76
Drums,44,147.0,0.333,68
Bar~37@148,Swing,4/4,A,140.0
Bass,33,148.0,1,77
Drums,44,148.0,0.333,76
Bass,33,149.0,1,74
Drums,44,149.0,0.333,70
Piano,48,149.0,1,77
Piano,52,149.0,1,80
Piano,57,149.0,1,70
Piano,64,149.0,1,67
Piano,69,149.0,1,65
Piano,76,149.0,1,64
Bass,33,150.0,1,71
Drums,44,150.0,0.333,77
Piano,60,150.0,0.666,61
Piano,64,150.0,0.666,80
Piano,69,150.0,0.666,63
Piano,76,150.0,0.666,80
Bass,28,151.0,1,63
Drums,44,151.0,0.333,76
Bar~38@152,Swing,4/4,A,140.0
Bass,31,152.0,1,64
Drums,36,152.0,0.333,74
Drums,44,152.0,0.333,68
Piano,55,152.0,1,79
Piano,58,152.0,1,70
Piano,62,152.0,1,77
Piano,67,152.0,1,73
Bass,38,153.0,0.666,60
Drums,44,153.0,0.333,64
Bass,31,154.0,1,67
Drums,44,154.0,0.25,64
Bass,35,155.0,1,73
Drums,44,155.0,0.333,70
Bar~39@156,Swing,4/4,A,140.0
Bass,36,156.0,1,64
Drums,44,156.0,0.333,78
Bass,35,157.0,1,69
Drums,44,157.0,0.333,65
Piano,55,157.0,0.666,66
Piano,60,157.0,0.666,70
Piano,64,157.0,0.666,76
Piano,67,157.0,0.666,76
Bass,36,158.0,0.5,67
Drums,44,158.0,0.25,72
Piano,55,158.0,1,80
Piano,60,158.0,1,78
Piano,64,158.0,1,75
Piano,67,158.0,1,78
Bass,31,159.0,0.5,80
Drums,36,159.0,0.25,72
Drums,44,159.0,0.25,64
Bar~40@160,Swing,4/4,A,140.0
Bass,29,160.0,1,64
Bass,35,161.0,1,63
Drums,44,161.0,0.25,65
Bass,36,162.0,1,66
Bass,41,163.0,1,71
Drums,44,163.0,0.25,63
Bar~41@164,Swing,4/4,A,140.0
Bass,34,164.0,1,70
Bass,34,165.0,1,73
Drums,44,165.0,0.25,62
Bass,34,166.0,1,76
Piano,46,166.0,1,72
Piano,50,166.0,1,72
Piano,53,166.0,1,61
Piano,58,166.0,1,77
Bass,42,167.0,1,72
Drums,44,167.0,0.25,61
Bar~42@168,Swing,4/4,A,140.0
Bass,43,168.0,1,67
Bass,29,169.0,1,72
Drums,44,169.0,0.25,67
Bass,28,170.0,1,77
Piano,52,170.0,1,67
Piano,55,170.0,1,74
Piano,59,170.0,1,75
Piano,64,170.0,1,60
Bass,31,171.0,1,62
Drums,44,171.0,0.25,66
