kern2csv4playerString:  Bar~0@0, B, 4/4, A, 140
Piano, 60, 106.0, 1, 63
Piano, 64, 106.0, 1, 63
Piano, 69, 106.0, 1, 63
Piano, 76, 106.0, 1, 70
Drums, 44, 107.0, 1, 62
Bar~27@108, B, 4/4, A, 140
Bass, 38, 108.0, 1, 80
Drums, 36, 108.0, 1, 67
Drums, 44, 109.0, 1, 71
Bass, 38, 110.0, 1, 78
Drums, 36, 110.0, 1, 69
Drums, 44, 111.0, 1, 74
Bar~28@112, B, 4/4, A, 140
Bass, 33, 112.0, 1, 70
Drums, 36, 112.0, 1, 68
Drums, 44, 113.0, 1, 68
Bass, 33, 114.0, 1, 70
Drums, 36, 114.0, 1, 63
Drums, 44, 115.0, 1, 79
Bar~29@116, B, 4/4, A, 140
Bass, 35, 116.0, 1, 74
Drums, 36, 116.0, 1, 71
Drums, 44, 117.0, 1, 62
Bass, 40, 118.0, 1, 74
Drums, 36, 118.0, 1, 63
Drums, 44, 119.0, 1, 70
Bar~30@120, B, 4/4, A, 140
Bass, 45, 120.0, 1, 76
Drums, 36, 120.0, 1, 78
Drums, 44, 121.0, 1, 67
Bass, 33, 122.0, 1, 65
Drums, 36, 122.0, 1, 74
Piano, 48, 122.0, 1, 78
Piano, 52, 122.0, 1, 73
Piano, 57, 122.0, 1, 70
Piano, 64, 122.0, 1, 78
Piano, 69, 122.0, 1, 63
Piano, 76, 122.0, 1, 80
Drums, 44, 123.0, 1, 75
Bar~31@124, B, 4/4, A, 140
Bass, 31, 124.0, 1, 72
Drums, 36, 124.0, 1, 62
Piano, 55, 124.0, 1, 78
Piano, 59, 124.0, 1, 66
Piano, 62, 124.0, 1, 80
Piano, 67, 124.0, 1, 65
Drums, 44, 125.0, 1, 60
Piano, 50, 125.0, 1, 75
Piano, 55, 125.0, 1, 75
Piano, 59, 125.0, 1, 75
Piano, 62, 125.0, 1, 73
Bass, 31, 126.0, 1, 66
Piano, 50, 126.0, 1, 60
Piano, 55, 126.0, 1, 79
Piano, 59, 126.0, 1, 76
Piano, 62, 126.0, 1, 66
Bass, 35, 127.0, 1, 69
Drums, 44, 127.0, 1, 63
Bar~32@128, B, 4/4, A, 140
Bass, 36, 128.0, 1, 74
Drums, 44, 129.0, 1, 69
Bass, 36, 130.0, 1, 73
