kern2csv4playerString: Bar~0@0, Swing, 4/4, A, 140
Drums, 44, 95.0, 0.333, 66
Piano, 59, 95.0, 1, 67
Piano, 53, 95.0, 1, 75
Piano, 67, 95.0, 1, 67
Piano, 63, 95.0, 1, 79
Drums, 44, 95.666, 0.333, 63
Bar~24@96, Swing, 4/4, A, 140
Bass, 40, 96.0, 1, 68
Drums, 36, 96.0, 1, 66
Drums, 44, 96.0, 1, 78
Piano, 59, 96.0, 1, 73
Piano, 52, 96.0, 1, 80
Piano, 67, 96.0, 1, 70
Piano, 62, 96.0, 1, 75
Bass, 32, 97.0, 1, 78
Drums, 44, 97.0, 0.333, 68
Drums, 44, 97.666, 0.333, 76
Bass, 31, 98.0, 1, 69
Drums, 44, 98.0, 1, 67
Bass, 36, 99.0, 1, 62
Drums, 44, 99.0, 0.333, 76
Drums, 44, 99.666, 0.333, 78
Bar~25@100, Swing, 4/4, A, 140
Bass, 38, 100.0, 1, 63
Drums, 36, 100.0, 1, 74
Drums, 44, 100.0, 1, 65
Bass, 43, 101.0, 1, 70
Drums, 44, 101.0, 0.333, 72
Drums, 44, 101.666, 0.333, 61
Bass, 31, 102.0, 1, 80
Drums, 44, 102.0, 1, 74
Piano, 59, 102.0, 1, 73
Piano, 53, 102.0, 1, 76
Piano, 79, 102.0, 1, 77
Piano, 73, 102.0, 1, 65
Piano, 67, 102.0, 1, 71
Piano, 62, 102.0, 1, 76
Bass, 36, 103.0, 1, 62
Drums, 44, 103.0, 0.333, 70
Drums, 44, 103.666, 0.333, 74
Bar~26@104, Swing, 4/4, A, 140
Bass, 36, 104.0, 1, 76
Drums, 44, 104.0, 1, 70
Bass, 41, 105.0, 1, 60
Drums, 44, 105.0, 0.333, 77
Drums, 44, 105.666, 0.333, 61
Bass, 41, 106.0, 1, 64
Drums, 44, 106.0, 1, 79
Piano, 57, 106.0, 1, 73
Piano, 72, 106.0, 1, 78
Piano, 67, 106.0, 1, 68
Piano, 64, 106.0, 1, 62
Bass, 35, 107.0, 1, 77
Drums, 44, 107.0, 0.333, 75
Drums, 44, 107.666, 0.333, 73
Bar~27@108, Swing, 4/4, A, 140
Bass, 34, 108.0, 1, 80
Drums, 44, 108.0, 1, 62
Bass, 40, 109.0, 1, 67
Drums, 44, 109.0, 0.333, 60
Drums, 44, 109.666, 0.333, 72
Bass, 37, 110.0, 1, 74
Drums, 44, 110.0, 1, 76
Bass, 33, 111.0, 1, 68
Drums, 44, 111.0, 0.333, 70
Piano, 55, 111.0, 1, 67
Piano, 70, 111.0, 1, 69
Piano, 64, 111.0, 1, 70
Piano, 61, 111.0, 1, 63
Drums, 44, 111.666, 0.333, 68
Bar~28@112, Swing, 4/4, A, 140
Drums, 36, 112.0, 1, 72
Drums, 44, 112.0, 1, 61
Bass, 38, 113.0, 1, 74
Drums, 44, 113.0, 0.333, 60
Drums, 36, 113.666, 0.333, 71
Drums, 44, 113.666, 0.333, 77
Bass, 38, 114.0, 1, 77
Drums, 44, 114.0, 1, 76
Piano, 53, 114.0, 1, 63
Piano, 79, 114.0, 1, 70
Piano, 74, 114.0, 1, 67
Piano, 67, 114.0, 1, 74
Piano, 64, 114.0, 1, 62
Piano, 60, 114.0, 1, 76
Drums, 36, 114.666, 0.333, 73
Bass, 43, 115.0, 1, 65
Drums, 36, 115.0, 1, 64
Drums, 44, 115.0, 0.333, 70
Drums, 44, 115.666, 0.333, 60
Bar~29@116, Swing, 4/4, A, 140
Bass, 44, 116.0, 1, 68
Drums, 44, 116.0, 1, 74
Bass, 41, 117.0, 1, 70
Drums, 44, 117.0, 1, 68
Bass, 49, 118.0, 1, 76
Drums, 44, 118.0, 1, 77
Piano, 59, 118.0, 1, 70
Piano, 53, 118.0, 1, 75
Piano, 70, 118.0, 1, 61
Piano, 63, 118.0, 1, 75
Drums, 36, 118.666, 0.333, 69
Bass, 44, 119.0, 1, 77
Drums, 44, 119.0, 1, 71
Drums, 36, 119.666, 0.333, 75
Bar~30@120, Swing, 4/4, A, 140
Bass, 43, 120.0, 1, 61
Drums, 44, 120.0, 1, 74
Bass, 37, 121.0, 1, 75
Drums, 44, 121.0, 0.333, 74
Drums, 36, 121.666, 0.333, 66
Drums, 44, 121.666, 0.333, 60
Bass, 36, 122.0, 1, 76
Drums, 44, 122.0, 1, 68
Piano, 57, 122.0, 1, 63
Piano, 52, 122.0, 1, 76
Piano, 48, 122.0, 1, 72
Piano, 60, 122.0, 1, 76
Drums, 36, 122.666, 0.333, 75
Bass, 31, 123.0, 1, 80
Drums, 36, 123.0, 1, 78
Drums, 44, 123.0, 0.333, 68
Drums, 44, 123.666, 0.333, 66
Bar~31@124, Swing, 4/4, A, 140
Bass, 31, 124.0, 1, 67
Drums, 44, 124.0, 1, 67
Bass, 36, 125.0, 1, 74
Drums, 44, 125.0, 0.333, 77
Drums, 44, 125.666, 0.333, 65
Bass, 38, 126.0, 1, 66
Drums, 44, 126.0, 0.333, 65
Drums, 44, 126.666, 0.333, 66
Bass, 33, 127.0, 1, 78
Drums, 44, 127.0, 0.333, 78
Drums, 44, 127.666, 0.333, 68
Bar~32@128, Swing, 4/4, A, 140
Bass, 31, 128.0, 1, 67
Drums, 44, 128.0, 1, 79
Bass, 28, 129.0, 1, 61
Drums, 44, 129.0, 0.333, 73
Piano, 55, 129.0, 1, 80
Piano, 52, 129.0, 1, 64
Piano, 47, 129.0, 1, 71
Piano, 62, 129.0, 1, 65
Drums, 44, 129.666, 0.333, 71
Bass, 36, 130.0, 1, 67
Drums, 44, 130.0, 1, 65
Bass, 38, 131.0, 1, 72
Drums, 44, 131.0, 0.333, 74
Drums, 44, 131.666, 0.333, 70
Bar~33@132, Swing, 4/4, A, 140
Bass, 43, 132.0, 1, 75
Drums, 44, 132.0, 1, 64
Bass, 32, 133.0, 1, 63
Drums, 44, 133.0, 0.333, 75
Drums, 44, 133.666, 0.333, 78
Bass, 31, 134.0, 1, 68
Drums, 44, 134.0, 1, 61
Piano, 59, 134.0, 1, 65
Piano, 53, 134.0, 1, 66
Piano, 79, 134.0, 1, 76
Piano, 73, 134.0, 1, 70
Piano, 67, 134.0, 1, 65
Piano, 62, 134.0, 1, 70
Bass, 36, 135.0, 1, 75
Drums, 44, 135.0, 0.333, 62
Drums, 44, 135.666, 0.333, 68
Bar~34@136, Swing, 4/4, A, 140
Bass, 36, 136.0, 1, 64
Drums, 44, 136.0, 1, 60
Piano, 57, 136.0, 1, 78
Piano, 72, 136.0, 1, 70
